"December 31,",Credit exposure,Nonperforming<sup>(d)</sup>
(in millions),2014,2013,2014,2013
Loans retained,"$324,502","$308,263",$599,$821
Loans held-for-sale,"3,801","11,290",4,26
Loans at fair value,"2,611","2,011",21,197
Loans – reported,"330,914","321,564",624,"1,044"
Derivative receivables,"78,975","65,759",275,415
Receivables from customers and other<sup>(a)</sup>,"28,972","26,744",—,—
Total wholesale credit-related assets,"438,861","414,067",899,"1,459"
Lending-related commitments<sup>(b)</sup>,"472,056","446,232",103,206
Total wholesale credit exposure,"$910,917","$860,299","$1,002","$1,665"
"Credit Portfolio Management derivatives notional, net<sup>(c)</sup>","$(26,703)","$(27,996)",$—,$(5)
Liquid securities and other cash collateral held against derivatives,"(19,604)","(14,435)",NA,NA
