,Year Ended December
<i>$ in millions</i>,2014,2013,2012
Compensation and benefits,"$12,691","$12,613","$12,944"
"Brokerage, clearing, exchange anddistribution fees","2,501","2,341","2,208"
Market development,549,541,509
Communications and technology,779,776,782
Depreciation and amortization,"1,337","1,322","1,738"
Occupancy,827,839,875
Professional fees,902,930,867
Insurance reserves<sup>1</sup>,—,176,598
Other expenses,"2,585","2,931","2,435"
Total non-compensation expenses,"9,480","9,856","10,012"
Total operating expenses,"$22,171","$22,469","$22,956"
Total staff at period-end,"34,000","32,900","32,400"
