"December 31,",Credit exposure,Nonperforming<sup>(c)(d)</sup>
(in millions),2012,2011,2012,2011
Loans retained,"$306,222","$278,395","$1,434","$2,398"
Loans held-for-sale,"4,406","2,524",18,110
Loans at fair value,"2,555","2,097",93,73
Loans – reported,"313,183","283,016","1,545","2,581"
Derivative receivables,"74,983","92,477",239,297
Receivables from customers and other<sup>(a)</sup>,"23,648","17,461",—,—
Total wholesale credit-related assets,"411,814","392,954","1,784","2,878"
Lending-related commitments,"434,814","382,739",355,865
Total wholesale credit exposure,"$846,628","$775,693","$2,139","$3,743"
"Credit Portfolio Management derivatives notional, net<sup>(b)</sup>","$(27,447)","$(26,240)",$(25),$(38)
Liquid securities and other cash collateral held against derivatives,"(13,658)","(21,807)",NA,NA
