<i>(In millions)</i>,2004,2003,2002
"Sales and transfers of oil and gas produced, net of production, transportation, and administrative costs","$(2,715)","$(2,487)","$(1,983)"
"Net changes in prices and production, transportation and administrative costs related to future production",950,"1,178","2,795"
"Extensions, discoveries and improved recovery, less related costs","1,352",618,"1,032"
Development costs incurred during the period,711,802,499
Changes in estimated future development costs,(556),(478),(297)
Revisions of previous quantity estimates,494,348,311
Net changes in purchases and sales of minerals in place,33,(531),737
Net change in exchanges of minerals in place,–,403,–
Accretion of discount,790,807,417
Net change in income taxes,(529),65,"(1,288)"
Timing and other,(62),(165),2
Net change for the year,468,560,"2,225"
Beginning of year,"6,001","5,441","3,216"
End of year,"$6,469","$6,001","$5,441"
Net change for the year from discontinued operations,$–,$(384),$212
