,Year Ended December
<i>$ in millions</i>,2012,2011,2010
Compensation and benefits,"$12,944","$12,223","$15,376"
U.K. bank payrolltax,—,—,465
"Brokerage, clearing, exchange anddistribution fees","2,208","2,463","2,281"
Market development,509,640,530
Communications and technology,782,828,758
Depreciation and amortization,"1,738","1,865","1,889"
Occupancy,875,"1,030","1,086"
Professional fees,867,992,927
Insurance reserves<sup>1</sup>,598,529,398
Other expenses,"2,435","2,072","2,559"
Total non-compensation expenses,"10,012","10,419","10,428"
Total operating expenses,"$22,956","$22,642","$26,269"
Total staff atperiod-end<sup>2</sup>,"32,400","33,300","35,700"
