,Issued,In Treasury,Shares Outstanding
"Balance, January 1, 2001","667,085,793","(94,361,099)","572,724,694"
Employee stock purchase plan,–,"1,752,833","1,752,833"
Shares granted to Directors,–,"4,800","4,800"
Shares sold to optionees,"8,385","1,399,686","1,408,071"
"Balance, December 31, 2001","667,094,178","(91,203,780)","575,890,398"
Employee stock purchase plan,–,"2,677,842","2,677,842"
Shares granted to Directors,–,"3,500","3,500"
Shares sold to optionees,"10,490","2,243,400","2,253,890"
Acquisition of Technoguide,–,"1,347,485","1,347,485"
"Balance, December 31, 2002","667,104,668","(84,931,553)","582,173,115"
Employee stock purchase plan,–,"2,464,088","2,464,088"
Shares granted to Directors,–,"3,500","3,500"
Shares sold to optionees,"1,320","1,306,305","1,307,625"
"Balance, December 31, 2003","667,105,988","(81,157,660)","585,948,328"
