,As of December
<i>$ in millions</i>,2013,2012
Total level 1 financial assets,"$156,030","$ 190,737"
Total level 2 financial assets,"499,480","502,293"
Total level 3 financial assets,"40,013","47,095"
Cash collateral and counterparty netting,"(95,350)","(101,612)"
Total financial assets at fair value,"$600,173","$ 638,513"
Total assets<sup>1</sup>,"$911,507","$ 938,555"
Total level 3 financial assets as a percentage of Total assets,4.4%,5.0%
Total level 3 financial assets as a percentage of Total financial assets at fair value,6.7%,7.4%
Total level 1 financialliabilities,"$ 68,412","$ 65,994"
Total level 2 financial liabilities,"300,583","318,764"
Total level 3 financial liabilities,"12,046","25,679"
Cash collateral and counterparty netting,"(25,868)","(32,760)"
Total financial liabilities at fair value,"$355,173","$ 377,677"
Total level 3 financial liabilities as a percentage of Total financial liabilities at fairvalue,3.4%,6.8%
