"December 31,",Credit exposure,Nonperforming (f)
(in millions),2010,2009,2010,2009
Loans retained,"$222,510","$200,077","$5,510","$6,559"
Loans held-for-sale,"3,147","2,734",341,234
Loans at fair value,"1,976","1,364",155,111
Loans– reported,"227,633","204,175","6,006","6,904"
Derivative receivables,"80,481","80,210",34,529
Receivables from customers<sup>(a)</sup>,"32,541","15,745",—,—
Interests in purchased receivables<sup>(b)</sup>,391,"2,927",—,—
Total wholesale credit-related assets,"341,046","303,057","6,040","7,433"
Lending-related commitments<sup>(c)</sup>,"346,079","347,155","1,005","1,577"
Total wholesale credit exposure,"$687,125","$650,212","$7,045","$9,010"
Net credit derivative hedges notional<sup>(d)</sup>,"$(23,108)","$(48,376)",$(55),$(139)
Liquid securities and other cash collateral held against derivatives<sup>(e)</sup>,"(16,486)","(15,519)",NA,NA
