,Year Ended December
<i>$ in millions</i>,2018,2017,2016
Compensation and benefits,"$12,328","$11,653","$11,448"
"Brokerage, clearing, exchange and distribution fees","3,200","2,876","2,823"
Market development,740,588,457
Communications and technology,"1,023",897,809
Depreciation and amortization,"1,328","1,152",998
Occupancy,809,733,788
Professional fees,"1,214","1,165","1,081"
Other expenses,"2,819","1,877","1,900"
Total operating expenses,"$23,461","$20,941","$20,304"
Headcount atperiod-end,"36,600","33,600","32,400"
