Dollars in millions,2014,2013
January 1,"$3,609","$4,036"
Total net charge-offs (a),(531),"(1,077)"
Provision for credit losses,273,643
Net change in allowance for unfunded loan commitments and letters of credit,(17),8
Other,(3),(1)
December 31,"$3,331","$3,609"
Net charge-offs to average loans (for the year ended) (a),.27%,.57%
Allowance for loan and lease losses to total loans,1.63,1.84
Commercial lending net charge-offs,$(55),$(249)
Consumer lending net charge-offs (a),(476),(828)
Total net charge-offs,$(531),"$(1,077)"
Net charge-offs to average loans (for the year ended),,
Commercial lending,.04%,.22%
Consumer lending (a),0.62,1.07
