,Year Ended December
<i>$ in millions</i>,2015,2014,2013
Compensation and benefits,"$12,678","$12,691","$12,613"
"Brokerage, clearing, exchange anddistribution fees","2,576","2,501","2,341"
Market development,557,549,541
Communications and technology,806,779,776
Depreciation and amortization,991,"1,337","1,322"
Occupancy,772,827,839
Professional fees,963,902,930
Insurance reserves<sup>1</sup>,—,—,176
Other expenses<sup>2</sup>,"5,699","2,585","2,931"
Total non-compensation expenses,"12,364","9,480","9,856"
Total operating expenses,"$25,042","$22,171","$22,469"
Total staff at period-end,"36,800","34,000","32,900"
