,Year Ended December
<i>$ in millions</i>,2013,2012,2011
Compensation and benefits,"$12,613","$12,944","$12,223"
"Brokerage, clearing, exchange anddistribution fees","2,341","2,208","2,463"
Market development,541,509,640
Communications and technology,776,782,828
Depreciation and amortization,"1,322","1,738","1,865"
Occupancy,839,875,"1,030"
Professional fees,930,867,992
Insurance reserves<sup>1</sup>,176,598,529
Other expenses,"2,931","2,435","2,072"
Total non-compensation expenses,"9,856","10,012","10,419"
Total operating expenses,"$22,469","$22,956","$22,642"
Total staff at period-end,"32,900","32,400","33,300"
