2012,"$84,715"
2013,"77,893"
2014,"76,296"
2015,"75,970"
2016,"75,970"
Thereafter,"314,269"
Total minimum lease payments,"705,113"
"Less: Amount representing lease of the orbital location and estimated executory costs (primarily insurance and maintenance) including profit thereon, included in total minimum lease payments","(323,382)"
Net minimum lease payments,"381,731"
Less: Amount representing interest,"(109,823)"
Present value of net minimum lease payments,"271,908"
Less: Current portion,"(29,202)"
Long-term portion of capital lease obligations,"$242,706"
