In millions of dollars,2010,2009,2008,% Change 2010 vs. 2009,% Change 2009 vs. 2008
Net interest revenue,"$1,219","$2,754","$2,676",(56)%,3%
Non-interest revenue,"1,633","(6,014)","(42,375)",NM,86
"Revenues, net of interest expense","$2,852","$(3,260)","$(39,699)",NM,92%
Total operating expenses,$548,$824,$893,(33)%,(8)%
Net credit losses,"$2,013","$5,399",$906,(63)%,NM
Provision (releases) for unfunded lending commitments,(76),111,(172),NM,NM
Credit reserve builds (releases),"(1,711)",(530),"2,677",NM,NM
Provisions for credit losses and for benefits and claims,$226,"$4,980","$3,411",(95)%,46%
Income (loss) from continuing operations before taxes,"$2,078","$(9,064)","$(44,003)",NM,79%
Income taxes (benefits),905,"(3,695)","(16,714)",NM,78
Net income (loss) from continuing operations,"$1,173","$(5,369)","$(27,289)",NM,80%
Net income (loss) attributable to noncontrolling interests,188,(16),(205),NM,92
Net income (loss),$985,"$(5,353)","$(27,084)",NM,80%
EOP assets(in billions of dollars),$80,$136,$219,(41)%,(38)%
