In millions of dollars,2009,2008,2007,% Change 2009 vs. 2008,% Change 2008 vs. 2007
Net interest revenue,"$13,709","$17,903","$18,166",(23)%,(1)%
Non-interest revenue,"5,473","6,550","8,584",(16),(24)
"Total revenues, net of interest expense","$19,182","$24,453","$26,750",(22)%,(9)%
Total operating expenses,"$10,431","$14,973","$11,457",(30)%,31%
Net credit losses,"$19,237","$13,151","$6,794",46%,94%
Credit reserve build/(release),"5,904","8,592","5,454",(31),58
Provision for benefits and claims,"1,055","1,191",765,(11),56
Provision for unfunded lending commitments,3,—,—,—,—
Provisions for loan losses and for benefits and claims,"$26,199","$22,934","$13,013",14%,76%
Income (loss) from continuing operations before taxes,"$(17,448)","$(13,454)","$2,280",(30)%,NM
Income taxes (benefits),"(7,405)","(5,200)",568,(42),NM
Income (loss) from continuing operations,"$(10,043)","$(8,254)","$1,712",(22)%,NM
Net income attributable to noncontrolling interests,32,12,34,NM,(65)%
Net income (loss),"$(10,075)","$(8,266)","$1,678",(22)%,NM
Average assets(in billions of dollars),$390,$461,$496,(15),(7)%
Net credit losses as a percentage of average loans,5.91%,3.56%,1.90%,,
