,As of December
<i>$ in millions</i>,2016,2015
Global Core Liquid Assets (GCLA),"$226,066","$199,120"
Other cash,"9,088","9,180"
GCLA and cash,"235,154","208,300"
Secured client financing,"199,387","221,325"
Inventory,"206,988","208,836"
Secured financing agreements,"65,606","63,495"
Receivables,"29,592","39,976"
Institutional Client Services,"302,186","312,307"
Public equity,"3,224","3,991"
Private equity,"18,224","16,985"
Debt,"21,675","23,216"
Loans receivable,"49,672","45,407"
Other,"5,162","4,646"
Investing & Lending,"97,957","94,245"
Total inventory and relatedassets,"400,143","406,552"
Other assets,"25,481","25,218"
Total assets,"$860,165","$861,395"
