(in millions),2015,2014,2013
Investment banking fees,"$6,751","$6,542","$6,354"
Principal transactions,"10,408","10,531","10,141"
Lending- and deposit-related fees,"5,694","5,801","5,945"
"Asset management, administration and commissions","15,509","15,931","15,106"
Securities gains,202,77,667
Mortgage fees and related income,"2,513","3,563","5,205"
Card income,"5,924","6,020","6,022"
Other income<sup>(a)</sup>,"3,032","3,013","4,608"
Noninterest revenue,"50,033","51,478","54,048"
Net interest income,"43,510","43,634","43,319"
Total net revenue,"$93,543","$95,112","$97,367"
