"December 31,",Allowance for loan losses,Net charge-offs (recoveries) year ended
(in millions),2008,2007,2008,2007
Investment Bank,"$3,444","$1,329",$105,$36
Commercial Banking,"2,826","1,695",288,44
Treasury & Securities Services,74,18,(2),—
Asset Management,191,112,11,(8)
Corporate/Private Equity,10,—,—,—
Total Wholesale,"6,545","3,154",402,72
Retail Financial Services,"8,918","2,668","4,877","1,350"
Card Services,"7,692","3,407","4,556","3,116"
Corporate/Private Equity,9,5,—,—
Total Consumer – reported,"16,619","6,080","9,433","4,466"
Credit card – securitized,—,—,"3,612","2,380"
Total Consumer – managed,"16,619","6,080","13,045","6,846"
Total,"$23,164","$9,234","$13,477","$6,918"
