,2007,2006,2005
( gain ) /loss on disposition or impairment of acquired assets and obligations,$ -1.2 ( 1.2 ),$ -19.2 ( 19.2 ),$ 3.2
consulting and professional fees,1.0,8.8,5.6
employee severance and retention,1.6,3.3,13.3
information technology integration,2.6,3.0,6.9
in-process research & development,6.5,2.9,2013
integration personnel,2013,2.5,3.1
facility and employee relocation,2013,1.0,6.2
distributor acquisitions,4.1,2013,2013
sales agent and lease contract terminations,5.4,0.2,12.7
other,5.2,3.6,5.6
acquisition integration and other,$ 25.2,$ 6.1,$ 56.6
