,Year Ended December 31
"($ in millions, except per share amounts)",2017,2016,2015,2014,2013
Sales and service revenues,"$7,441","$7,068","$7,020","$6,957","$6,820"
Goodwill impairment,—,—,75,47,—
Operating income (loss),865,858,769,655,512
Net earnings (loss),479,573,404,338,261
Total assets<sup></sup>,"6,374","6,352","6,024","6,239","6,190"
Long-term debt<sup>(1)</sup>,"1,279","1,278","1,273","1,562","1,665"
Total long-term obligations<sup></sup>,"3,225","3,356","3,260","3,562","3,277"
Net cash provided by (used in) operating activities,814,822,861,755,260
Free cash flow<sup>(2)</sup>,453,537,673,590,121
Dividends declared per share,$2.52,$2.10,$1.70,$1.00,$0.50
Basic earnings (loss) per share,$10.48,$12.24,$8.43,$6.93,$5.25
Diluted earnings (loss) per share,$10.46,$12.14,$8.36,$6.86,$5.18
