,Year Ended December
<i>$ in millions</i>,2017,2016,2015
Compensation and benefits,"$11,853","$11,647","$12,678"
"Brokerage, clearing, exchangeand distribution fees","2,540","2,555","2,576"
Market development,588,457,557
Communications and technology,897,809,806
Depreciation and amortization,"1,152",998,991
Occupancy,733,788,772
Professional fees,965,882,963
Other expenses,"2,213","2,168","5,699"
Totalnon-compensationexpenses,"9,088","8,657","12,364"
Total operating expenses,"$20,941","$20,304","$25,042"
Total staff atperiod-end,"36,600","34,400","36,800"
