$ in millions,year ended december 2018,year ended december 2017,year ended december 2016
compensation and benefits,$ 12328,$ 11653,$ 11448
brokerage clearing exchange and distribution fees,3200,2876,2823
market development,740,588,457
communications and technology,1023,897,809
depreciation and amortization,1328,1152,998
occupancy,809,733,788
professional fees,1214,1165,1081
other expenses,2819,1877,1900
total operating expenses,$ 23461,$ 20941,$ 20304
headcount atperiod-end,36600,33600,32400
