,As of December
<i>in millions</i>,2012,2011
Excess liquidity (Global Core Excess),"$174,622","$171,581"
Other cash,"6,839","7,888"
Excess liquidity and cash,"181,461","179,469"
Secured client financing,"229,442","283,707"
Inventory,"318,323","273,640"
Secured financing agreements,"76,277","71,103"
Receivables,"36,273","35,769"
Institutional Client Services,"430,873","380,512"
ICBC<sup>1</sup>,"2,082","4,713"
Equity (excluding ICBC),"21,267","23,041"
Debt,"25,386","23,311"
Receivables and other,"8,421","5,320"
Investing & Lending,"57,156","56,385"
Total inventory and related assets,"488,029","436,897"
Otherassets<sup>2</sup>,"39,623","23,152"
Total assets,"$938,555","$923,225"
