,2009,2008,2007
"Adjustment or impairment of acquired assets and obligations, net",$(1.5),$(10.4),$(1.2)
Consulting and professional fees,11.7,13.2,1.0
"Employee severance and retention, including share-based compensation acceleration",19.0,0.2,1.6
Information technology integration,1.1,0.7,2.6
In-process research & development,–,38.5,6.5
Vacated facilities,1.4,–,–
Facility and employee relocation,5.4,7.5,–
Distributor acquisitions,1.1,6.9,4.1
Certain litigation matters,23.4,–,–
Contract terminations,9.4,5.7,5.4
Other,4.3,6.2,5.2
"Acquisition, integration, realignment and other",$75.3,$68.5,$25.2
