In millions of dollars,2010,2009,2008
Net interest revenue,"$1,059","$(1,657)","$(2,671)"
Non-interest revenue,695,"(8,898)",413
"Total revenues, net of interest expense","$1,754","$(10,555)","$(2,258)"
Total operating expenses,"$1,953","$1,418",$511
Provisions for loan losses and for benefits and claims,—,—,—
(Loss) from continuing operations before taxes,$(199),"$(11,973)","$(2,769)"
Benefits for income taxes,(153),"(4,356)",(585)
(Loss) from continuing operations,$(46),"$(7,617)","$(2,184)"
"Income (loss) from discontinued operations, net of taxes",(68),(445),"4,002"
Net income (loss) before attribution of noncontrolling interests,$(114),"$(8,062)","$1,818"
Net (loss) attributable to noncontrolling interests,(48),(2),—
Net income (loss),$(66),"$(8,060)","$1,818"
