,2005,2004
American Tower credit facility,"$793,000","$698,000"
SpectraSite credit facility,"700,000",
Senior subordinated notes,"400,000","400,000"
"Senior subordinated discount notes, net of discount and warrant valuation","160,252","303,755"
"Senior notes, net of discount and premium","726,754","1,001,817"
"Convertible notes, net of discount","773,058","830,056"
Notes payable and capital leases,"60,365","59,986"
Total,"3,613,429","3,293,614"
Less current portion of other long-term obligations,"(162,153)","(138,386)"
Long-term debt,"$3,451,276","$3,155,228"
