$ in millions,year ended december 2013,year ended december 2012,year ended december 2011
compensation and benefits,$ 12613,$ 12944,$ 12223
brokerage clearing exchange anddistribution fees,2341,2208,2463
market development,541,509,640
communications and technology,776,782,828
depreciation and amortization,1322,1738,1865
occupancy,839,875,1030
professional fees,930,867,992
insurance reserves1,176,598,529
other expenses,2931,2435,2072
total non-compensation expenses,9856,10012,10419
total operating expenses,$ 22469,$ 22956,$ 22642
total staff at period-end,32900,32400,33300
