<i>(In millions)</i>,2011,2010,2009
"Sales and transfers of oil and gas produced, net of production and administrative costs","$(7,922)","$(6,330)","$(4,876)"
Net changes in prices and production and administrative costs related to future production,"12,313","9,843","4,840"
"Extensions, discoveries and improved recovery, less related costs","1,454","1,268","1,399"
Development costs incurred during the period,"1,899","2,546","2,786"
Changes in estimated future development costs,"(1,349)","(2,153)","(3,773)"
Revisions of previous quantity estimates,"2,526","1,117","5,110"
Net changes in purchases and sales of minerals in place,233,(20),(159)
Accretion of discount,"2,040","1,335",787
Net change in income taxes,"(6,676)","(4,231)","(4,345)"
Timing and other,130,250,(149)
Net change for the year,"4,648","3,625","1,620"
Beginning of the year,"9,280","5,655","4,035"
End of year,"$13,928","$9,280","$5,655"
