,2008,2007
"Commercial Mortgage Pass-Through Certificates, Series 2007-1","$1,750,000","$1,750,000"
Revolving credit facility,"750,000","825,000"
Term loan,"325,000",—
7.25% senior subordinated notes,288,288
7.50% senior notes,"225,000","225,000"
7.125% senior notes,"501,107","502,202"
7.00% senior notes,"500,000","500,000"
5.0% convertible notes,"59,683","59,683"
3.25% convertible notes,—,"18,333"
3.00% convertible notes,"161,893","344,568"
Other convertible notes,41,41
Notes payable and capital leases,"60,134","60,169"
Total,"4,333,146","4,285,284"
Less current portion of long-term obligations,"(1,837)","(1,817)"
Long-term obligations,"$4,331,309","$4,283,467"
